NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
301195,2018,27,,11,43320,NULL,,,,
301196,2017,20,,9,42956,NULL,,,,
301196,2018,20,,10,43320,NULL,,,,
301197,2017,28,,9,42956,NULL,,O,,3.07E+13
301197,2018,28,,10,43320,NULL,,O,,3.07E+13
301199,2017,37,,7,42956,NULL,,,,
301201,2017,22,S,9,42956,NULL,,,,
301201,2018,22,S,10,43320,NULL,,,,
301205,2017,28,,9,42956,NULL,,,,
301205,2018,28,,10,43320,NULL,,,,
301209,2017,42,,10,42956,NULL,,,,
301209,2018,42,,11,43320,NULL,,,,
301210,2017,24,,10,42956,NULL,,,,
301210,2018,24,,11,43320,NULL,,,,
301211,2017,24,,9,42956,NULL,,,,
301211,2018,24,,10,43320,NULL,,,,
301214,2018,31,,7,43320,NULL,,I,,3.07E+13
301217,2017,25,,9,42956,NULL,,,,
301217,2018,25,,10,43320,NULL,,,,
301218,2017,28,,11,42956,NULL,,,,
301219,2017,31,,7,42956,NULL,,,,
301227,2017,40,,7,42956,NULL,,,,
301231,2018,35,,7,43320,NULL,,,,
301232,2018,22,,11,43332,NULL,,,,
301238,2017,42,,10,42956,NULL,,,,
301238,2018,42,,11,43320,NULL,,,,
301241,2017,44,,7,42956,NULL,,,,
301249,2018,25,,9,43320,NULL,,,,
301253,2018,38,,7,43320,NULL,,,,
301261,2017,34,,7,42956,NULL,,,,
301267,2018,25,,9,43320,NULL,,,,
301270,2017,22,,10,42956,NULL,,,,
301272,2017,27,,11,42956,NULL,,,,
301275,2018,40,,7,43320,NULL,,,,
301278,2017,25,,9,42956,NULL,,I,,
301278,2018,25,,10,43320,NULL,,I,,
301282,2017,37,,7,42956,NULL,,,,
301286,2018,28,,9,43320,NULL,,,,
301289,2017,27,,10,42956,NULL,,,,
301289,2018,27,,11,43320,NULL,,,,
301291,2017,23,,10,42956,NULL,,,,
301291,2018,23,,11,43320,NULL,,,,
301298,2017,22,,9,42971,NULL,,,,
301298,2018,22,,10,43320,NULL,,,,
301299,2017,37,,7,42956,NULL,,,,
301300,2017,24,,10,42956,NULL,,,,
301300,2018,24,,11,43320,NULL,,,,
301311,2017,44,,7,42956,NULL,,,,
301312,2018,24,,9,43320,NULL,,,,
301314,2017,20,,9,42956,NULL,,,,
301314,2018,20,,10,43320,NULL,,,,
301323,2017,21,,9,42956,NULL,,,,
301323,2018,21,,10,43320,NULL,,,,
301341,2017,32,,7,42956,NULL,,,,
301344,2017,25,,9,42956,NULL,,O,,3.07E+13
301344,2018,25,,10,43320,NULL,,O,,3.07E+13
301350,2017,31,,7,42956,NULL,,,,
301351,2017,23,,11,42956,NULL,,,,
301352,2017,40,,7,42956,NULL,,,,
301354,2017,24,,10,42956,NULL,,,,
301354,2018,68,,11,43472,NULL,,,,
301357,2017,28,,10,42956,NULL,,,,
301357,2018,28,,11,43320,NULL,,,,
301359,2018,28,,9,43320,NULL,,,,
301360,2017,25,,9,42956,NULL,,,,
301360,2018,25,,10,43320,NULL,,,,
301361,2018,20,,9,43320,NULL,,,,
301363,2018,21,,9,43320,NULL,,,,
301372,2018,27,,9,43320,NULL,,1,,3.07E+11
301376,2018,27,,9,43320,NULL,,,,
301380,2017,34,,7,42956,NULL,,O,,3.07E+13
301382,2018,23,,9,43320,NULL,,,,
301385,2017,25,,9,42956,NULL,,,,
301385,2018,25,,10,43320,NULL,,,,
301386,2017,21,,11,42956,NULL,,I,,
301392,2017,24,,9,42956,NULL,,,,
301392,2018,24,,10,43320,NULL,,,,
301393,2017,28,,9,42956,NULL,,,,
301393,2018,28,,10,43320,NULL,,,,
301396,2018,21,,9,43320,NULL,,,,
301397,2017,22,,11,42956,NULL,,,,
301405,2017,38,,7,42956,NULL,,,,
301419,2017,24,,9,42956,NULL,,,,
301419,2018,24,,10,43320,NULL,,,,
